TITLE SKILL
Global Chief Information Officer, Digital, Transformation, Consumer & Retail, Media, Financial Services,Technology	Strategy
Global Chief Information Officer, Digital, Transformation, Consumer & Retail, Media, Financial Services,Technology	Leadership
Global Chief Information Officer, Digital, Transformation, Consumer & Retail, Media, Financial Services,Technology	Vendor Management
Global Chief Information Officer, Digital, Transformation, Consumer & Retail, Media, Financial Services,Technology	Strategic Planning
Global Chief Information Officer, Digital, Transformation, Consumer & Retail, Media, Financial Services,Technology	Project Management
Global Chief Information Officer, Digital, Transformation, Consumer & Retail, Media, Financial Services,Technology	IT Strategy
Global Chief Information Officer, Digital, Transformation, Consumer & Retail, Media, Financial Services,Technology	Change Management
Global Chief Information Officer, Digital, Transformation, Consumer & Retail, Media, Financial Services,Technology	Retail
Global Chief Information Officer, Digital, Transformation, Consumer & Retail, Media, Financial Services,Technology	Project Planning
Global Chief Information Officer, Digital, Transformation, Consumer & Retail, Media, Financial Services,Technology	Business Intelligence
Global Chief Information Officer, Digital, Transformation, Consumer & Retail, Media, Financial Services,Technology	Start-ups
Global Chief Information Officer, Digital, Transformation, Consumer & Retail, Media, Financial Services,Technology	Mergers & Acquisitions
Global Chief Information Officer, Digital, Transformation, Consumer & Retail, Media, Financial Services,Technology	Marketing
Global Chief Information Officer, Digital, Transformation, Consumer & Retail, Media, Financial Services,Technology	Budgets
Global Chief Information Officer, Digital, Transformation, Consumer & Retail, Media, Financial Services,Technology	Competitive Analysis
Global Chief Information Officer, Digital, Transformation, Consumer & Retail, Media, Financial Services,Technology	Analysis
Global Chief Information Officer, Digital, Transformation, Consumer & Retail, Media, Financial Services,Technology	Performance Management
Global Chief Information Officer, Digital, Transformation, Consumer & Retail, Media, Financial Services,Technology	Inventory Management
Global Chief Information Officer, Digital, Transformation, Consumer & Retail, Media, Financial Services,Technology	Management
Global Chief Information Officer, Digital, Transformation, Consumer & Retail, Media, Financial Services,Technology	Cross-functional Team Leadership
Global Chief Information Officer, Digital, Transformation, Consumer & Retail, Media, Financial Services,Technology	Team Leadership
Global Chief Information Officer, Digital, Transformation, Consumer & Retail, Media, Financial Services,Technology	Mentoring
Global Chief Information Officer, Digital, Transformation, Consumer & Retail, Media, Financial Services,Technology	Process Improvement
VP CIO & Transformation Office and Engineering SAP & Corporate (ad interim) at adidas	Management
VP CIO & Transformation Office and Engineering SAP & Corporate (ad interim) at adidas	Forecasting
VP CIO & Transformation Office and Engineering SAP & Corporate (ad interim) at adidas	Sporting Goods
Director Strategy & Projects, Adidas, MBA Top 100 2016	Six Sigma
Director Strategy & Projects, Adidas, MBA Top 100 2016	Unternehmensführung
